ThetaWC,ThetaWK,PkPa,TwetK,TwetC
-20,253.15,85,242.65,-30.5
-20,253.15,80,238.75,-34.4
-20,253.15,75,234.65,-38.5
-20,253.15,70,230.15,-43
-20,253.15,65,226.55,-46.6
-24,249.15,105,252.15,-21
-24,249.15,100,249.15,-24
-24,249.15,95,245.75,-27.4
-24,249.15,90,242.15,-31
-24,249.15,85,238.55,-34.6
-24,249.15,80,234.55,-38.6
-24,249.15,75,230.65,-42.5
-24,249.15,70,225.85,-47.3
-28,245.15,105,248.25,-24.9
-28,245.15,100,245.15,-28
-28,245.15,95,241.65,-31.5
-28,245.15,90,238.15,-35
-28,245.15,85,234.55,-38.6
-28,245.15,80,230.65,-42.5
-28,245.15,75,226.55,-46.6
-28,245.15,70,222.05,-51.1
-32,241.15,105,244.15,-29
-32,241.15,100,241.15,-32
-32,241.15,95,237.65,-35.5
-32,241.15,90,234.15,-39
-32,241.15,85,230.45,-42.7
-32,241.15,80,226.55,-46.6
-32,241.15,75,222.55,-50.6
-36,237.15,105,240.15,-33
-36,237.15,100,237.15,-36
-36,237.15,95,233.75,-39.4
-36,237.15,90,230.15,-43
-36,237.15,85,226.55,-46.6
-36,237.15,80,222.85,-50.3
-40,233.15,105,236.15,-37
-40,233.15,100,233.15,-40
-40,233.15,95,229.75,-43.4
-40,233.15,90,226.15,-47
-40,233.15,85,222.65,-50.5
